#key, created, size, mimetype
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2014_v201703.xlsx,2017-03-21T13:05:06.211434+00:00,2084875,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2015_v201703.xlsx,2017-03-21T13:05:06.223450+00:00,8117907,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2016_v201703.xlsx,2017-03-21T13:05:06.235849+00:00,8026148,application/octet-stream
metorology_LTER_EU_AT_005_sch_temp_hh_wiv_prec2013_v201703.xlsx,2017-03-21T12:56:09.858200+00:00,781232,application/octet-stream
metorology_LTER_EU_AT_005_sch_temp_hh_wiv_prec2014_v201703.xlsx,2017-03-21T12:56:09.870414+00:00,1465392,application/octet-stream
metorology_LTER_EU_AT_005_sch_temp_hh_wiv_prec2015_v201703.xlsx,2017-03-21T12:56:09.883205+00:00,1470428,application/octet-stream
metorology_LTER_EU_AT_005_sch_temp_hh_wiv_prec2016_v201703.xlsx,2017-03-21T12:56:09.895464+00:00,1471841,application/octet-stream
metorology_LTER_EU_AT_005_bst_temp_hh_wiv_prec2015_v201703.xlsx,2017-03-21T11:59:20.249611+00:00,399318,application/octet-stream
metorology_LTER_EU_AT_005_bst_temp_hh_wiv_prec2016_v201703.xlsx,2017-03-21T11:59:20.261937+00:00,1446771,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2009_v201703.xlsx,2017-03-21T11:35:55.530201+00:00,1455328,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2010_v201703.xlsx,2017-03-21T11:35:55.543094+00:00,1449097,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2011_v201703.xlsx,2017-03-21T11:35:55.555454+00:00,1451898,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2012_v201703.xlsx,2017-03-21T11:35:55.569452+00:00,1454655,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2013_v201703.xlsx,2017-03-21T11:35:55.581958+00:00,1448436,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2014_v201703.xlsx,2017-03-21T11:35:55.593948+00:00,2181017,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2015_v201703.xlsx,2017-03-21T11:35:55.606153+00:00,8306125,application/octet-stream
metorology_LTER_EU_AT_005_egg_temp_hh_wiv_prec2016_v201703.xlsx,2017-03-21T11:35:55.618400+00:00,8059413,application/octet-stream
D_DepTotalSmpConcentration_CaUNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.339656+00:00,21291,application/octet-stream
D_DepTotalSmpConcentration_ClUNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.352185+00:00,21995,application/octet-stream
D_DepTotalSmpConcentration_KUNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.364556+00:00,21119,application/octet-stream
D_DepTotalSmpConcentration_MgUNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.376836+00:00,21355,application/octet-stream
